epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,938.53,0.13414,0.37015,0.9119,0.35724,1,0.73092,0.67439,0.32901,3.55396,0.94151,0.0006734,0.0006734,0.0006734
69,951.825,0.12677,0.34472,0.87655,0.37212,1,0.85914,0.83436,0.34257,3.13074,0.95589,0.0006536,0.0006536,0.0006536
70,965.421,0.14606,0.36828,0.91322,0.37212,1,0.85914,0.83436,0.34257,3.13074,0.95589,0.0006338,0.0006338,0.0006338
71,979.254,0.13623,0.34651,0.93442,0.37097,1,0.88132,0.85879,0.30463,2.92407,0.87162,0.000614,0.000614,0.000614
72,992.86,0.13146,0.34285,0.89548,0.37323,1,0.8915,0.87093,0.31478,2.98022,0.84392,0.0005942,0.0005942,0.0005942
73,1006.28,0.12337,0.33538,0.9156,0.37588,1,0.8735,0.84662,0.31065,3.03937,0.81417,0.0005744,0.0005744,0.0005744
74,1019.43,0.13822,0.33863,0.90077,0.37588,1,0.8735,0.84662,0.31065,3.03937,0.81417,0.0005546,0.0005546,0.0005546
75,1032.79,0.15193,0.35592,0.88952,0.3625,1,0.91737,0.87434,0.30802,3.13894,0.80243,0.0005348,0.0005348,0.0005348
76,1046.37,0.13206,0.33686,0.88916,0.35298,1,0.83021,0.79301,0.29871,3.1871,0.79093,0.000515,0.000515,0.000515
77,1060.22,0.12445,0.31281,0.89926,0.35081,1,0.92346,0.89778,0.24256,2.99617,0.73512,0.0004952,0.0004952,0.0004952
78,1073.95,0.12384,0.31221,0.9116,0.35081,1,0.92346,0.89778,0.24256,2.99617,0.73512,0.0004754,0.0004754,0.0004754
79,1087.45,0.14083,0.3167,0.88968,0.36215,1,0.98115,0.97146,0.19482,2.70831,0.7042,0.0004556,0.0004556,0.0004556
80,1101.05,0.11403,0.30756,0.86872,0.37736,1,0.995,0.98436,0.19018,2.3929,0.70598,0.0004358,0.0004358,0.0004358
81,1117.45,0.11449,0.31695,0.85502,0.95809,1,0.995,0.995,0.18836,1.14487,0.70705,0.000416,0.000416,0.000416
82,1137.02,0.12165,0.30789,0.87674,0.95809,1,0.995,0.995,0.18836,1.14487,0.70705,0.0003962,0.0003962,0.0003962
